"Title","Description","RDataPath","BiocVersion","Genome","Species","TaxonomyId","SourceType","SourceUrl","SourceVersion","DataProvider","SourceLastModifiedDate","DispatchClass","RDataDateAdded","RDataClass","Maintainer"
"Tabula-Muris-Senis-droplet-Bladder-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Bladder.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Bladder-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Bladder.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Bladder-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Bladder.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Fat-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Fat.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Fat-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Fat.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Fat-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Fat.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Heart_and_Aorta-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Heart_and_Aorta.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Heart_and_Aorta-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Heart_and_Aorta.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Heart_and_Aorta-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Heart_and_Aorta.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Kidney-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Kidney.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
