"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Bach mammary NP_1 counts","Count matrix (nulliparous replicate 1) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/counts-NP_1.rds","3.10","mm10","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834498_NP_1_counts.mtx.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Bach mammary NP_1 colData","Per-cell metadata (nulliparous replicate 1) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/coldata-NP_1.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834498_NP_1_barcodes.tsv.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"Bach mammary NP_2 counts","Count matrix (nulliparous replicate 2) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/counts-NP_2.rds","3.10","mm10","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834499_NP_2_counts.mtx.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Bach mammary NP_2 colData","Per-cell metadata (nulliparous replicate 2) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/coldata-NP_2.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834499_NP_2_barcodes.tsv.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"Bach mammary G_1 counts","Count matrix (gestation replicate 1) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/counts-G_1.rds","3.10","mm10","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834500_G_1_counts.mtx.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Bach mammary G_1 colData","Per-cell metadata (gestation replicate 1) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/coldata-G_1.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834500_G_1_barcodes.tsv.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"Bach mammary G_2 counts","Count matrix (gestation replicate 2) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/counts-G_2.rds","3.10","mm10","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834501_G_2_counts.mtx.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Bach mammary G_2 colData","Per-cell metadata (gestation replicate 2) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/coldata-G_2.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834501_G_2_barcodes.tsv.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"Bach mammary L_1 counts","Count matrix (lactation replicate 1) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/counts-L_1.rds","3.10","mm10","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834502_L_1_counts.mtx.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Bach mammary L_1 colData","Per-cell metadata (lactation replicate 1) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/coldata-L_1.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834502_L_1_barcodes.tsv.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"Bach mammary L_2 counts","Count matrix (lactation replicate 2) for the Bach mammary gland single-cell RNA-seq dataset","scRNAseq/bach-mammary/2.0.0/counts-L_2.rds","3.10","mm10","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106273","GSM2834503_L_2_counts.mtx.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
