"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Hu 3T3 cells counts","Count matrix for 3T3 cells in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-cell-3T3.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845359_cell-3T3_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu 3T3 nuclei counts","Count matrix for 3T3 nuclei in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-3T3.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845360_nuclei-3T3_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 1) counts","Count matrix for mouse cortex cells (animal 1) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-1.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845361_nuclei-ctx-1_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 2) counts","Count matrix for mouse cortex cells (animal 2) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-2.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845362_nuclei-ctx-2_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 3) counts","Count matrix for mouse cortex cells (animal 3) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-3.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845363_nuclei-ctx-3_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 4) counts","Count matrix for mouse cortex cells (animal 4) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-4.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845364_nuclei-ctx-4_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 5) counts","Count matrix for mouse cortex cells (animal 5) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-5.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845365_nuclei-ctx-5_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 6) counts","Count matrix for mouse cortex cells (animal 6) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-6.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845366_nuclei-ctx-6_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 7) counts","Count matrix for mouse cortex cells (animal 7) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-7.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845367_nuclei-ctx-7_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"Hu mouse cortex (animal 8) counts","Count matrix for mouse cortex cells (animal 8) in the Hu single-nucleus RNA-seq dataset","scRNAseq/hu-cortex/2.4.0/counts-nuclei-ctx-8.rds","3.12","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106678","GSM2845368_nuclei-ctx-8_gene_exonic.intronic_tagged.dge.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
