"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"He human organ atlas bladder counts","Count matrix for the bladder subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Bladder.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas bladder colData","Per-cell metadata for the bladder subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Bladder.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas blood counts","Count matrix for the blood subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Blood.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas blood colData","Per-cell metadata for the blood subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Blood.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas common bile.duct counts","Count matrix for the common bile.duct subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Common.bile.duct.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas common bile.duct colData","Per-cell metadata for the common bile.duct subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Common.bile.duct.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas esophagus counts","Count matrix for the esophagus subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Esophagus.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas esophagus colData","Per-cell metadata for the esophagus subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Esophagus.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas heart counts","Count matrix for the heart subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Heart.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas heart colData","Per-cell metadata for the heart subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Heart.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas liver counts","Count matrix for the liver subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Liver.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
