"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"La Manno human ES counts","Count matrix for the La Manno human ES single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/counts-human-es.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_ESMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"La Manno human ES colData","Per-cell metadata for the La Manno human ES single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/coldata-human-es.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_ESMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DataFrame","Rds"
"La Manno human embryo midbrain counts","Count matrix for the La Manno human embryo midbrain single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/counts-human-embryo.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_EmbryoMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"La Manno human embryo midbrain colData","Per-cell metadata for the La Manno human embryo midbrain single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/coldata-human-embryo.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_EmbryoMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DataFrame","Rds"
"La Manno mouse adult dopaminergic neuron counts","Count matrix for the La Manno mouse adult dopaminergic neuron single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/counts-mouse-adult.rds","3.10","mm10","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_MouseAdultDAMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"La Manno mouse adult dopaminergic neuron colData","Per-cell metadata for the La Manno mouse adult dopaminergic neuron single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/coldata-mouse-adult.rds","3.10","mm10","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_MouseAdultDAMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DataFrame","Rds"
"La Manno mouse embryo midbrain counts","Count matrix for the La Manno mouse embryo midbrain single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/counts-mouse-embryo.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_MouseEmbryoMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"La Manno mouse embryo midbrain colData","Per-cell metadata for the La Manno mouse embryo midbrain single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/coldata-mouse-embryo.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_MouseEmbryoMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DataFrame","Rds"
"La Manno human iPS counts","Count matrix for the La Manno human iPS single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/counts-human-ips.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_iPSMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"La Manno human iPS colData","Per-cell metadata for the La Manno human iPS single-cell RNA-seq dataset","scRNAseq/lamanno-brain/2.0.0/coldata-human-ips.rds","3.10","mm10","TSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381","GSE76381_iPSMoleculeCounts.cef.txt.gz","Mus musculus","10090",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DataFrame","Rds"
